技能名称,相似技能1,相似度1,相似技能2,相似度2,相似技能3,相似度3,相似技能4,相似度4,相似技能5,相似度5,相似技能6,相似度6,相似技能7,相似度7,相似技能8,相似度8,相似技能9,相似度9,相似技能10,相似度10
基础设计理论,手绘板绘制,0.85,人体解剖结构,0.85,设计功底,0.85,美术基础,0.85,blender,0.85,设计技巧,0.85,美术功底,0.8,造型功底,0.76,审美力,0.7200000000000001,,
动力电池开发,模型搭建,0.8,常规分析测试仪器,0.76,caffe,0.7200000000000001,实验设计,0.68,查阅英文文献,0.6400000000000001,锂电池测试流程,0.6000000000000001,计算机软件,0.6,minitab,0.5599999999999999,英语沟通,0.52,,
位姿估计,自驱力,0.8,产品新功能,0.76,团队意识,0.7200000000000001,用户服务意识,0.68,3年以上运维开发,0.6400000000000001,维重建算法,0.6000000000000001,算法移植,0.6,prometheus,0.5599999999999999,grafana,0.52,,
原理图,电气原理图设计,0.8,电路设计开发流程,0.76,基本开关电源设计,0.7200000000000001,衍生项目设计重点,0.68,计算机通信接口技术,0.6400000000000001,集成电路工艺,0.6000000000000001,信号完整性理论基础,0.6,机原理,0.5599999999999999,股票投资,0.52,,
数据分析软件工具,产品嗅觉,0.8,市场发展现状,0.76,国家相关政策,0.75,axcure,0.75,运筹学,0.75,从事低碳环保,0.75,综合能源系统,0.7200000000000001,学习自驱力,0.68,开拓意识,0.6400000000000001,,
器皿材料,职业道德,0.8,服务配置,0.76,亲和؜力,0.7200000000000001,原则性,0.68,客户管理知识,0.65,进取心,0.65,积极学习新知识,0.6400000000000001,执行力,0.6000000000000001,高度额责任心,0.5599999999999999,,
学习领悟,追求上进,0.8,文案撰写,0.8,质量管理流程,0.8,实习经验,0.8,道德素养,0.8,同理心,0.8,思维灵活,0.76,英语四级通,0.7200000000000001,思考学习,0.68,,
商业洞察力,用户体验设计,1.0,思维灵活,1.0,机器学习技术,1.0,产品战略,1.0,用户同理心,1.0,组织协调力,1.0,进取心,1.0,逻辑思考力,1.0,自驱动力,1.0,,
逻辑达人,竞争意识,0.8,直播平台,0.8,爱管事,0.76,商务合作思维,0.76,团队协作的思想,0.7200000000000001,陌生人打交道,0.7200000000000001,商务谈判,0.68,进取心,0.68,soul,0.65,互联网络,0.65
非金属材料的制备工艺过程,材料配方,0.8,仿真分析软件,0.76,典型金属,0.7200000000000001,组织性能测评,0.7,工艺材料基本常识,0.7,典型零部件产品的制造工艺方法,0.7,钻研精神,0.68,理论力学,0.6400000000000001,非金属材料的组织性能特性,0.6000000000000001,,
流体力,高分子材料,0.8,可塑性,0.8,沟通表达理,0.8,逻辑思考力,0.8,fluent,0.8,offic办公软件,0.8,汽车理论,0.76,基础理论知识,0.7200000000000001,空气动力学,0.68,,
食品行业相关标准,文件撰写,0.8,数理统计理论,0.76,中英文读写,0.75,学习的意识,0.75,工程架构,0.75,团队分享,0.75,检定方法验证,0.7200000000000001,药学相关专业知识,0.68,药品生产质量管理规范,0.6400000000000001,,
路由协议,python程序,0.9,逻辑思考力,0.9,linux操作系统,0.9,数通厂商设备配置,0.9,redis,0.9,huawei,0.9,洞察力,0.9,liunx命令,0.8,电子产品,0.76,,
结果导向思维,用户服务意识,1.85,高度额责任心,1.0,客户业务,1.0,管理流程,1.0,志存高远,1.0,学上进心,1.0,人力资源行业,1.0,offic办公软件,1.0,人际交往技能,1.0,安全性评估流程,0.85
数字营销分析,sas,0.8,python程序,0.76,数据之间的联系,0.7200000000000001,tableau,0.7,数据变化敏感度,0.7,寻找事物规律,0.7,python数据分析,0.68,商业分析,0.6400000000000001,数据分析工具,0.6000000000000001,,
文字功底,正形象气质,3.6900000000000004,word文档,3.35,ppt操作,2.97,亲和؜力,2.87,高度额责任心,2.54,英语四级通,2.2800000000000002,解决问题的意识,2.2,文案写作,1.95,化办公软件,1.9,视频混剪,1.75
内驱力,流量规则,0.8,投放方式,0.76,社交媒体,0.7200000000000001,上推广方式,0.68,短视频,0.65,市场开拓,0.65,文案写作,0.6400000000000001,敏锐性,0.6000000000000001,商务谈判,0.5599999999999999,,
音视频,英文沟通,0.8,产品分析,0.76,服务意识足,0.75,团队意识,0.75,沟通表达理,0.75,探索精神,0.75,开拓精神,0.7200000000000001,产品设计功底,0.68,自驱动力,0.6400000000000001,,
开拓进取,事业心,1.5,组织协调力,0.9,理解力,0.9,乐于经常交往,0.9,书写流,0.9,word文档,0.9,创新精神,0.9,强烈成功欲望,0.8,勇于尝试新思路,0.8,进取心,0.76
脚本开发,底层细节,1.0,lua,1.0,常用特效制作插件,1.0,美术风格,1.0,动画编辑器,1.0,功能模块,1.0,数据结构,1.0,审美力,1.0,研究精神,1.0,,
项目计划,财务软件,0.8,事业心,0.8,谦虚谨慎,0.8,开拓进取,0.8,勇于尝试新思路,0.8,供应链业务,0.8,进取心,0.76,新方法,0.7200000000000001,行业分析,0.68,,
英语流,英语四级通,1.3200000000000003,听说读写,1.25,英语沟通,1.24,交流表达,0.8,贸易操作流程,0.8,机械结构,0.8,敏捷的洞察力,0.76,国外客户,0.76,销售过程,0.76,机械结构设计,0.7200000000000001
创造精神,广告营销,0.8,模拟电路,0.76,32位单片机,0.7200000000000001,单片机,0.68,精细化个人工作经验,0.6400000000000001,客户心理,0.6000000000000001,审美水准,0.5599999999999999,自动控制理论基础,0.52,团队工作效率,0.48,,
国家财税法规,财务管理工作,0.8,公司会计核算,0.76,财务软件,0.7200000000000001,财务会计知识,0.68,风险防范意识,0.6400000000000001,金蝶财务软件,0.6000000000000001,处理流程性事务,0.5599999999999999,职业道德,0.52,各项会计政策,0.48,,
热爱公司的花花草草,心态积极,0.8,口齿清晰,0.8,知识学习,0.8,高度额责任心,0.8,销售渠道,0.8,学习卡推广,0.8,普通话标准,0.76,挖掘客户的潜力,0.7200000000000001,进取心,0.68,,
冲突管理,axcure,0.8,需求分析工作,0.76,基础工具,0.7200000000000001,设计低精度原型图,0.7,广告监测,0.7,产品设计软件,0.7,大数据相关知识体系,0.68,文档规范,0.6400000000000001,需求分析方法,0.6000000000000001,,
组织洞察力,组织绩效管理,0.85,沟通协作,0.85,创新意识,0.85,业务敏感度,0.85,操作思路,0.85,逻辑思考力,0.85,公司股权,0.8,组织架构设计,0.76,常用面试方法,0.7200000000000001,,
心态积极,普通话标准,1.6600000000000001,高度额责任心,1.55,责任感6,0.9,发展意愿,0.9,自驱力,0.9,化办公软件,0.9,效沟通技巧,0.9,英语语言,0.8,学习卡推广,0.8,分析客户,0.76
混合式步进,挑战精神,0.8,机构设计,0.76,课程学习成绩,0.7200000000000001,积极向上,0.68,执行力,0.6400000000000001,可自行搭建,0.6000000000000001,形位公差绘图,0.5599999999999999,性格开朗,0.52,联合单片机的电路,0.48,,
热点新闻,产品团队,0.9,数据变化敏感度,0.9,手机游戏,0.9,互动交流,0.9,新鲜事物有感觉,0.9,分析总结,0.9,英文基础,0.9,文字沟通,0.8,身心健康,0.76,,
同理心,英语四级通,1.7200000000000002,平面设计用软件,1.0,极富团队合作精神,1.0,沟通协作,1.0,抗压性,1.0,语言表达,1.0,英文书面,1.0,接受新事物的意识,1.0,拍摄设备,1.0,心理资格证,0.95
产品设计功底,服务意识足,0.85,团队意识,0.85,自驱动力,0.85,音视频,0.85,沟通表达理,0.85,探索精神,0.85,英文沟通,0.8,产品分析,0.76,开拓精神,0.7200000000000001,,
沟通表达理,亲和؜力,4.69,人际交往,4.32,化办公软件,4.32,组织协调力,4.3,抗压性,4.279999999999999,服务意识足,4.12,极富团队合作精神,3.5999999999999996,进取心,3.41,逻辑思考力,3.25,语言表达,2.95
系统逻辑,沟通交互,1.0,创新精神,1.0,抗压性,1.0,英文读写,1.0,自驱动力,1.0,总结项目所,1.0,物流知识,1.0,offic办公软件,1.0,不断优化流程,1.0,,
互联网发展趋势,在校综合表现,1.0,产品开发,1.0,创新精神,1.0,业务规划,1.0,思维逻辑性,1.0,决策指导,1.0,数据测算方法,1.0,测未来产品发展,1.0,书面交流,1.0,,
抽样方法,沟通交互,0.9,反馈率,0.9,文字编辑功底,0.9,影响范围,0.9,数据收集分析,0.9,市场研究技术,0.9,乐观积极,0.9,处理客户关系,0.8,全面性,0.76,,
数据流转,财务基础,0.8,三年以上,0.8,各个产品,0.8,语言处理,0.8,学习力,0.8,sas,0.8,全局统筹观,0.76,框架思维,0.7200000000000001,推广活动流程,0.68,,
独立分析解决问题,接受挑战,0.9,正形象气质,0.9,英语语言,0.9,沟通表达理,0.9,判断力,0.9,抗压性,0.9,自驱力,0.9,与人沟通,0.8,语言沟通,0.76,,
班级管理,沟通表达理,0.9,服务意识足,0.9,可服从外派,0.9,思维灵活敏捷,0.9,办公软件的运用,0.9,逻辑思考力,0.9,饲料生产工艺,0.9,社团管理经验,0.8,化学性质,0.76,,
协助代销,推广活动流程,0.8,社会实践经历,0.76,量化市场,0.7200000000000001,社团管理,0.68,领导力,0.65,逻辑清晰,0.65,活动策划&组织经验,0.6400000000000001,工作积极主动,0.6000000000000001,统计学,0.5599999999999999,,
在校成绩良好,产品项目管理相关工具,0.8,互联网快速迭代开发的模式,0.76,软件需求分析,0.7200000000000001,axcure,0.7,三维设计工具,0.7,结合用户需求设计开发产品,0.7,铸铁类产品开发流程,0.68,产品设计相关流程,0.6400000000000001,管理流程,0.6000000000000001,,
soul,直播平台,0.8,商务合作思维,0.76,团队协作的思想,0.7200000000000001,商务谈判,0.68,文案功底,0.6400000000000001,亚马逊平台物流政策,0.6000000000000001,互联网络,0.6,促进用户转化,0.5599999999999999,逻辑达人,0.52,,
无论口语,offic办公软件,0.95,抗压性,0.95,陌生人打交道,0.95,英文功底,0.95,促进用户转化,0.95,用户服务意识,0.95,高度额责任心,0.95,思维敏捷,0.95,工作软件,0.8,,
金融素养基本功,药品研发,0.8,财务分析基础,0.76,生物医药,0.7200000000000001,申报流程,0.68,人际交往,0.65,沟通表达理,0.65,适应性,0.6400000000000001,wind,0.6000000000000001,业务敏感度,0.5599999999999999,,
四级通,亲和؜力,0.9,极富团队合作精神,0.9,问题分析,0.9,用户服务意识,0.9,抗压性,0.9,主动沟通意识,0.9,目标敏感,0.8,自驱力,0.76,,,,
敢挑战,组织协调力,0.8,沟通表达理,0.76,懂得感恩,0.7200000000000001,理解他人,0.68,商业意识,0.6400000000000001,用户服务意识,0.6000000000000001,整体掌控力,0.6,懂得牺牲,0.5599999999999999,正直诚信,0.52,,
色谱分析,生物实验操作技能,0.95,岩土专业知识,0.95,光谱分析,0.95,实验室工作,0.95,基本实验基础,0.95,团队协作意识,0.95,拉力机,0.95,基础理论知识,0.95,纺织品,0.8,,
药品分析理论知识,自驱力,0.9,常用分析仪器,0.9,组织产品制程异常分析,0.9,工作责任感,0.9,操作技能,0.9,钻研精神,0.9,自驱动力,0.9,入质量策划,0.8,目标敏感,0.76,,
核心功能成分,运营分析,0.8,工作心态,0.76,商务谈判,0.7200000000000001,热爱市场营销,0.7,乐于面对挑战,0.7,用户服务意识,0.7,线上营销,0.68,商务运营,0.6400000000000001,美妆产品使用,0.6000000000000001,,
统计软件,信接口,0.95,sas,0.95,数字模拟电路,0.95,数据库软件,0.95,产品设计,0.95,创造性解决问题5,0.95,统计工具,0.95,axcure,0.95,流程设计工具,0.8,,
服装设计软件,服装搭配技巧,0.8,色彩触觉敏感,0.76,认真肯干,0.7200000000000001,服装工艺,0.68,材料结构研发,0.65,价值观正善,0.65,服装款式的设计风格,0.6400000000000001,热爱时尚,0.6000000000000001,国外服装流行品牌,0.5599999999999999,,
人体解剖结构,高度额责任心,0.95,理解力,0.95,offic办公软件,0.95,团队精神6,0.95,电脑的基本操作,0.95,方向感,0.95,适应性,0.95,自驱动力,0.95,影像科工作经验,0.8,场景动画绘制技术,0.8
计算机办公软件应用,资源拓展整合,0.8,亲和؜力,0.8,商务谈判技巧,0.8,前瞻性,0.8,执行力,0.8,国际视野,0.8,市场营销知识,0.76,人际理解,0.7200000000000001,组织管理,0.68,,
美术功底,手绘板绘制,5.109999999999999,审美力,4.09,美术基础,3.9000000000000004,平面设计用软件,3.39,c4d,2.45,illustrator,2.4200000000000004,视觉设计,1.9,造型功底,1.7200000000000002,造型表现力,1.7200000000000002,设计功底,1.56
国家级证书,互动沟通,0.8,软件开发项目各阶段,0.76,执行力,0.7200000000000001,执行流程,0.68,digital,0.6400000000000001,social,0.6000000000000001,高度额责任心,0.5599999999999999,mkt,0.52,项目管理流程,0.48,,
模拟电路理论,模拟电路设计经验,0.8,模块运放,0.76,晶体振荡器,0.7200000000000001,模拟集成电,0.68,设计仿真工具,0.65,pspice,0.65,模拟版图设计,0.6400000000000001,验证功底,0.6000000000000001,前后端分析,0.5599999999999999,,
策划逻辑,游戏设计,0.8,技能设计,0.76,思路开阔,0.7200000000000001,文字呈现,0.7,热爱化妆,0.7,客户沟通运作流程,0.7,关卡设计,0.68,反推过市面arpg,0.6400000000000001,逻辑思考力,0.6000000000000001,,
汽车理论知识,车辆运动学理论,1.0,现代控制理论,1.0,非线性控制理论,1.0,数字电路分析,1.0,各种控制方法,1.0,中英文读写,1.0,动力学模型,1.0,pid,1.0,电机控制,1.0,,
游戏运营方式,服务热情,0.85,客户视角,0.85,字迹工整,0.85,主动性,0.85,游戏用户行为,0.85,协作沟通,0.85,互联网游戏,0.8,同类型工作,0.76,产品or运营经验,0.7200000000000001,,
热爱工程设计,流程管理思维,0.8,化工原理,0.76,谦虚谨慎,0.75,积极进取,0.75,接受挑战,0.75,追求成效,0.75,物理化学,0.7200000000000001,化学类基础知识,0.68,分析化学,0.6400000000000001,,
建筑设计,建筑设计模型的辅助研究,1.0,规划设计素质,1.0,客户服务,1.0,常用设计软件,1.0,revit,1.0,设计悟性,1.0,建筑设计基本的软件,1.0,airpark,1.0,部分建筑性能模拟,1.0,,
用户同理心,用户体验设计,0.8,自驱动力,0.8,进取心,0.8,逻辑思考力,0.8,商业洞察力,0.8,思维灵活,0.8,机器学习技术,0.76,产品战略,0.7200000000000001,组织协调力,0.68,,
合作的态度,手绘板绘制,0.8,质感表现,0.76,illustrator,0.7200000000000001,视觉创意设计,0.7,空间立体感,0.7,品牌体验设计思维,0.7,字体设计技能,0.68,审美力,0.6400000000000001,美术功底,0.6000000000000001,,
互联网公司产品数据运营,大地测量理论基础,0.95,算法数据结构,0.95,聪明好学,0.95,平台投放规则,0.95,数据分析工具,0.95,数据建模方法,0.95,spark,0.95,python程序,0.95,sqoop,0.8,,
基本实验操作,现代分子生物技术,0.8,类似产品开发经验,0.76,检验工证书,0.7200000000000001,分子生物学技能,0.68,高压灭菌锅操作证书,0.6400000000000001,发酵系统的检查,0.6000000000000001,设计院,0.5599999999999999,上罐准备工作,0.52,微生物基础知识,0.48,,
统计分析原理,英文书写,1.0,叶片造型,1.0,经济知识,1.0,多级轴流压气机气动设计体系,1.0,损失模型,1.0,财务会计知识,1.0,实验设计思路,1.0,基本实验基础,1.0,行业研究,1.0,,
负责客户开发,事业心,1.0,股票市场,1.0,经济金融知识,1.0,工厂自动化,1.0,学上进心,1.0,python程序,1.0,敬业度,1.0,分享交流,1.0,主动性,1.0,承压力,1.0
情商高,创新意识,0.85,极富团队合作精神,0.85,操作office,0.85,职业素质,0.85,效沟通技巧,0.85,事业心,0.85,工程建筑设计知识,0.8,思路清晰文笔,0.76,adobe,0.7200000000000001,,
办公系统,中英文书面文字功底,1.0,计算机软件,1.0,业务知识,1.0,数据采集,1.0,临床试验经验,1.0,运用office,1.0,综合处理,1.0,分析技巧,1.0,数据分析工具,1.0,,
产品拍摄,视觉元素,0.8,发散性思维,0.8,视觉设计,0.8,版式设计,0.8,原则性,0.8,premiere,0.8,美术功底,0.76,店铺装修,0.7200000000000001,c4d,0.68,,
维护保养,电气设计图纸,0.85,高低压配电柜,0.85,机械装配规范,0.85,测试工具,0.85,工程图纸,0.85,电子产品系统性装配,0.85,装配组装工艺,0.8,装配图纸,0.76,电气接线,0.7200000000000001,,
电化学表,学科功底,0.85,实验室的操作方法,0.85,化学分析实验设备,0.85,自我激励,0.85,实验室常规实验设备使用,0.85,电化学工作站,0.85,机硅合成树脂,0.8,聚氨酯,0.76,化学反应,0.7200000000000001,,
责任心特别,电商行业,0.8,平台设计,0.76,矢量绘图,0.7200000000000001,资源拓展整合,0.68,数据洞察分析,0.6400000000000001,目标敏感,0.6000000000000001,天猫的运营环境,0.6,分析理,0.5599999999999999,视觉效,0.52,,
学校社团,英语沟通,1.0,信息网络安全的理念,1.0,学习欲望,1.0,销售行业,1.0,信息安全行业,1.0,电话营销技能,1.0,媒介市场行情,1.0,笔记本,1.0,攫取欲望,1.0,,
设计功底,数据结构,2.24,swift,1.56,美术功底,1.5,手绘板绘制,1.4400000000000002,审美力,1.42,android,1.28,美术基础,1.2000000000000002,沟通表达流利,0.85,游戏运营有浓厚兴趣,0.85,illustrator,0.85
印刷流程,审美力,0.85,问题分析,0.85,产品设计,0.85,审美品味,0.85,业法律法规,0.85,各类设计软件,0.85,主流包装工艺,0.8,材质特征,0.76,设计基础,0.7200000000000001,,
态度端正,抗压性,1.46,沟通表达理,1.42,服务意识足,0.9,客户沟通,0.9,高度额责任心,0.9,文字功底,0.9,效沟通技巧,0.9,收法规,0.8,发散性思维,0.8,财务软件操作,0.76
linux系统运维,linux操作命令4,0.8,linux操作系统,0.76,windows,0.75,android,0.75,腾讯系,0.75,linux系统,0.75,python程序,0.7200000000000001,docker,0.68,自我发展,0.6400000000000001,,
外贸saas,分析理,0.8,强烈成功欲望,0.76,半年以上车间实习经验,0.7200000000000001,管理技能,0.7,党员+,0.7,自信开朗,0.7,社会实践经历,0.68,目标敏感,0.6400000000000001,财务软件,0.6000000000000001,,
销售力,沟通方式,0.8,外延产品知识,0.76,各项税收政策,0.7200000000000001,word文档,0.7,用户服务意识,0.7,税收优惠备案,0.7,强烈成就动机,0.68,口齿清晰,0.6400000000000001,乐观外向,0.6000000000000001,,
测试方法,设计方法,1.65,软件工程,1.6099999999999999,理论基础知识,1.48,测试工作,0.85,scapy,0.85,嵌入式软件性能测试,0.85,selenium,0.85,软件知识,0.8,界面测试,0.8,研发基本流程,0.8
低温制冷,主流制冷剂的原理,0.8,手动工具,0.76,offic办公软件,0.7200000000000001,逻辑思考力,0.7,专业基础,0.7,软件测,0.7,基础控制算法,0.68,机械的构造,0.6400000000000001,电路基础知识,0.6000000000000001,,
市场发展现状,国家相关政策,0.95,数据分析软件工具,0.95,axcure,0.95,运筹学,0.95,学习自驱力,0.95,综合能源系统,0.95,从事低碳环保,0.95,开拓意识,0.95,产品嗅觉,0.8,,
中英文阅读,医药投资,0.8,创新药,0.76,证券基金,0.7200000000000001,口齿清晰,0.68,医药信息收集,0.6400000000000001,财务资格证书,0.6000000000000001,金融投资管理知识,0.6,文献检索,0.5599999999999999,职业道德,0.52,,
语义分割,强弱电基础,0.8,沟通表达流畅,0.76,电机拖动原理,0.7200000000000001,分析基础,0.7,散货码头作业流程,0.7,机械构造原理,0.7,机械设计,0.68,国际标准,0.6400000000000001,图像生成,0.6000000000000001,,
数理统计,windows,0.8,机器学习基础知识,0.76,计算机基础算法,0.75,车载autosar相关标准,0.75,语法文件,0.75,python程序,0.75,经典概率论,0.7200000000000001,云原生基础设施,0.68,python模板,0.6400000000000001,,
机器学习基础知识,计算机基础算法,0.95,车载autosar相关标准,0.95,数理统计,0.95,python模板,0.95,经典概率论,0.95,云原生基础设施,0.95,语法文件,0.95,python程序,0.95,windows,0.8,,
量化市场,领导力,0.9,协助代销,0.9,社团管理,0.9,活动策划&组织经验,0.9,逻辑清晰,0.9,统计学,0.9,工作积极主动,0.9,推广活动流程,0.8,社会实践经历,0.76,,
常用特效制作插件,脚本开发,0.8,美术风格,0.76,数据结构,0.7200000000000001,审美力,0.68,研究精神,0.6400000000000001,lua,0.6000000000000001,动画编辑器,0.5599999999999999,功能模块,0.52,底层细节,0.48,,
房地产基础知识,乐观阳光,0.8,自我调节工作压力,0.76,强烈成功欲望,0.7200000000000001,乐于挑战,0.7,工作热情,0.7,offic办公软件,0.7,与人沟通,0.68,灵活创新,0.6400000000000001,执行力,0.6000000000000001,,
基本电脑,英语6级,0.95,联络公司的客户,0.95,私募基金运作管理,0.95,国家相关政策,0.95,化办公软件,0.95,跟单流程,0.95,亲和؜力,0.95,投资知识,0.95,西山居游戏,0.8,,
结构问题,从case,0.8,模型算法,0.76,flink,0.7200000000000001,edding,0.68,定量统计,0.6400000000000001,问题拆解,0.6000000000000001,工程架构,0.6,结构公差分析,0.5599999999999999,语言基本功,0.52,,
sketch设计工具,illustrator,0.8,美术功底,0.76,视觉设计,0.7200000000000001,审美力,0.68,思路清晰文笔,0.65,设计的表达,0.65,figma,0.6400000000000001,手绘板绘制,0.6000000000000001,交互意识,0.5599999999999999,,
windows,linux操作命令4,4.08,python程序,3.08,linux操作系统,2.95,主流操作系统基本,1.9,html5css,1.9,数据结构,1.6,机器学习基础知识,1.0,计算机基础算法,1.0,python模板,1.0,经典概率论,1.0
稳定性,财务软件,0.8,计划并坚持执行,0.8,自我激励,0.76,职业操,0.76,财务收支计划,0.7200000000000001,认同公司运作模式,0.7200000000000001,时间管理意识,0.68,资产管理,0.68,兴趣爱好,0.6400000000000001,课程学习成绩,0.6400000000000001
模具制造工艺,珠宝设计工艺,0.8,熟悉铸造理论,0.8,结构件设计,0.8,黄金首饰产品设计,0.8,影响因素,0.8,粉体高温烧结机理,0.8,炼油工艺装置,0.76,3d动画制作,0.7200000000000001,汽车零部件构造,0.68,,
表现形式,人际交际,0.8,强烈成功欲望,0.8,招商工作流程,0.8,供应商资源,0.8,新闻媒介素养,0.8,招商流程,0.8,媒体内容特点,0.76,供应链业务,0.7200000000000001,灵活驾驭不同领域,0.68,,
后端开发实现方式,销售意识,1.0,es6+,1.0,组织管理,1.0,背景知识,1.0,react技术栈,1.0,前端模块化开发,1.0,html5css,1.0,less,1.0,组件化,1.0,,
安全生产管理技术,国家政策,0.8,常见攻击,0.76,linux操作命令4,0.75,漏洞的内在原理,0.75,攻防技术,0.75,python程序,0.75,利用方式,0.7200000000000001,工程安全生产的法律法规,0.68,安全漏洞,0.6400000000000001,,
产品or运营经验,责任感6,1.0,阅读平台运营经验,1.0,服务热情,0.9,协作沟通,0.9,游戏运营方式,0.9,客户视角,0.9,主动性,0.9,字迹工整,0.9,游戏用户行为,0.9,互联网游戏,0.8
语音识别算法,声学理论,0.8,信号处理基础,0.76,声纹识别,0.7200000000000001,声学前端处理算法,0.68,语音唤醒,0.6400000000000001,系统性的理解,0.6000000000000001,命令词识,0.5599999999999999,去混响,0.52,人声增强降噪,0.48,,
时空转录组学技术原理,独立逻辑思维,0.8,正直善良,0.76,分析方法,0.7200000000000001,勤奋踏实,0.68,流场分析,0.6400000000000001,会计专业知识,0.6000000000000001,文献搜索,0.6,行业洞察力,0.5599999999999999,乐于接受挑战,0.52,,
封装中的技术,分子克隆,0.8,病毒载体构建,0.76,细胞培养操作经验,0.7200000000000001,生物反应器操作,0.7,平英文论文,0.7,科研有强烈的兴趣,0.7,制造型企业行政管理知识,0.68,生物实验操作技能,0.6400000000000001,半导体理论知识,0.6000000000000001,,
文化流行趋势,网络媒体运营经验,1.75,东西方文化,1.6099999999999999,国际化工作的意,0.9,灵活解决问题,0.9,西班牙语国家文化,0.9,销售理念,0.9,西班牙语,0.9,英文沟通,0.9,文字编辑,0.85,英文阅读水平,0.85
准备长期在人力方向发展的规划,商务谈判,0.95,业务思维,0.95,决策力,0.95,计算机水平,0.95,业务理解力,0.95,组织协调力,0.95,工作规划,0.95,上人力资源,0.95,亲和؜力,0.8,,
盲色弱,油墨制作,1.0,对增稠剂,1.0,未受过记过处分,1.0,分散染料,1.0,结构设计软件,1.0,多种包装材料的应用性能,1.0,印刷方面,1.0,设备仪器,1.0,印刷包装材料领,1.0,,
mg动画视频的制作,强烈成功欲望,1.0,抓重点,1.0,目标敏感,1.0,react技术栈,1.0,完成视觉设计,1.0,新媒体运营工作经验,1.0,flutter,1.0,前期策划,1.0,电磁场,1.0,美术基础,0.8
展示潮流,offic办公软件,1.0,正形象气质,1.0,理解力,1.0,展览展示空间设计,1.0,口头表达,1.0,普通话标准,1.0,设计思路,1.0,文字功底,1.0,服务意识足,1.0,,
英文功底,工作软件,0.8,英语四级通,0.8,无论口语,0.76,英语书面水平,0.76,用户服务意识,0.75,促进用户转化,0.75,抗压性,0.75,高度额责任心,0.75,思维敏捷,0.7200000000000001,外贸工作流程,0.7200000000000001
移动互联网行业,文字功底,0.8,摄像经验,0.76,文案写作,0.7200000000000001,文案撰写,0.68,新闻动态,0.65,新媒体运营工作经验,0.65,文案功底,0.6400000000000001,视频混剪,0.6000000000000001,视频的制作流程,0.5599999999999999,,
英文书面,同理心,0.8,沟通协作,0.76,抗压性,0.75,拍摄设备,0.75,语言表达,0.75,极富团队合作精神,0.75,平面设计用软件,0.7200000000000001,接受新事物的意识,0.68,英语四级通,0.6400000000000001,,
去混响,声学理论,0.8,信号处理基础,0.76,声纹识别,0.7200000000000001,声学前端处理算法,0.68,人声增强降噪,0.65,语音识别算法,0.65,语音唤醒,0.6400000000000001,系统性的理解,0.6000000000000001,命令词识,0.5599999999999999,,
脚本撰写,总结分析,0.8,画面特效包装,0.8,沟通协作,0.8,前期拍摄,0.8,爱剪辑,0.8,视频制作软件,0.8,设计软件,0.76,高度认同公司企业文化,0.7200000000000001,视频混剪,0.68,,
新方法,财务软件,0.9,事业心,0.9,谦虚谨慎,0.9,开拓进取,0.9,行业分析,0.9,项目计划,0.9,供应链业务,0.9,勇于尝试新思路,0.8,进取心,0.76,,
了解公司产品,负责事项积极推进,0.95,用户需求调研,0.95,业务流程,0.95,word文档,0.95,语言表达,0.95,财务基础,0.95,实验室管理,0.95,生物化学医药公司,0.95,普通话标准,0.95,应用函数,0.95
乐于面对挑战,运营分析,0.8,工作心态,0.76,商务谈判,0.7200000000000001,线上营销,0.68,商务运营,0.6400000000000001,美妆产品使用,0.6000000000000001,核心功能成分,0.5599999999999999,热爱市场营销,0.52,用户服务意识,0.48,,
分析工作,进取心,0.8,思路清晰文笔,0.8,文档规范性,0.8,竞争意识,0.8,管理潜质,0.8,沟通表达理,0.8,爱管事,0.76,处事灵活度,0.7200000000000001,陌生人打交道,0.68,,
现金管理知识,合同签订,0.8,营业场所管理,0.76,初级账务管理,0.7200000000000001,物业现场管理,0.68,绿化卫生管理,0.6400000000000001,基建管理,0.6000000000000001,招商管理,0.5599999999999999,原价管理,0.52,服务意识足,0.48,,
拍摄设备,同理心,0.8,沟通协作,0.76,平面设计用软件,0.7200000000000001,接受新事物的意识,0.68,英语四级通,0.6400000000000001,英文书面,0.6000000000000001,极富团队合作精神,0.6,语言表达,0.5599999999999999,抗压性,0.52,,
财务资格证书,财务软件,0.8,医药投资,0.8,职业操,0.76,创新药,0.76,稳定性,0.75,职业道德,0.75,中英文阅读,0.75,独立学习,0.75,文献检索,0.75,国家会计法规,0.75
装配建模,高度额责任心,0.85,抗压性,0.85,创造性思维,0.85,敏捷的创意思维,0.85,团队精神6,0.85,设计理论,0.85,汽车结构,0.8,连接池,0.76,工作原理,0.7200000000000001,,
效维护公,德语听说读写,0.8,商务英语,0.76,1种外语技能,0.75,书面交流,0.75,亚马逊,0.75,灵活解决问题,0.75,德语专业等级证书,0.7200000000000001,wish,0.68,语言证书,0.6400000000000001,,
天猫的运营环境,电商行业,0.8,平台设计,0.76,矢量绘图,0.7200000000000001,资源拓展整合,0.68,数据洞察分析,0.6400000000000001,目标敏感,0.6000000000000001,分析理,0.5599999999999999,视觉效,0.52,责任心特别,0.48,,
平面设计用软件,美术功底,3.0,美术基础,1.6099999999999999,手绘板绘制,1.6,sai,1.4000000000000001,造型功底,1.3200000000000003,想象力,1.1199999999999999,审美力,1.08,抗压性,0.9,拍摄设备,0.9,英文书面,0.9
