岗位分类,能力词
安全员,C++编程能力;python程序;MatLab;英语撰写能力;平英文论文;独立能力;解决问题的意识;动手能力
安全员,
安全员,
安全员,嵌入式软件开发功底;C语言程序设计;编程功底;单片机系统开发知识;单片机的软件;自学习能力
安全员,化办公软件;撰写报告能力;沟通能力;抗压性;团队意识
安全员,化办公软件;消防安全知识;沟通表达理;工作负责
安全员,语言沟通能力
安全员,抗压性;沟通协调能力能力;极富团队合作精神;沟通能力吃苦耐劳;offic办公软件;AutoCad
安全员,表达能力;学习性思维
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达;无慢性疾病
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,170cm;160cm;三观正;身材好;语言表达
安全员,语言表达
安全员,
安全员,沟综合素质;163cm;173cm;沟综合素质;高度额责任心
班主任/辅导员,表达沟通能力
班主任/辅导员,沟通能力;语言沟通能力;抗压性
班主任/辅导员,高度额责任心;表达能力
班主任/辅导员,沟通能力;普通话标准;极富团队合作精神;学科基础知识;高度额责任心
班主任/辅导员,
班主任/辅导员,文学知识;团队意识
班主任/辅导员,
班主任/辅导员,
班主任/辅导员,
班主任/辅导员,
平面设计师,
平面设计师,美术功底;领悟能力;工作协调能力;创造逻辑思维能力;高度额责任心
平面设计师,Photos;平面设计用软件;Keyshot;C4D;自驱动力;责任感6;跨团队合作能力
平面设计师,Mac;美术功底;创意能力;执行能力;学习能力
平面设计师,美术功底;审美力;个人能力;C4D;视觉设计能力;责任感6
平面设计师,创新能力
平面设计师,Photos;illustrator;美术功底;发散性思维;设计思路;理解力;高度额责任心;极富团队合作精神;沟通能力;高度额责任心
平面设计师,团队的协作能力;目标构建设计策略;美术功底;发挥创意;英语四级通
平面设计师,各类海外推广渠道;品牌视觉应用;illustrator;ppt操作;Excel函;word文档;手绘板绘制;态度积极;应变协调能力;语言表达
平面设计师,CDR;C4D
平面设计师,手绘板绘制;Photos;illustrator;平面设计用软件;创新意识;极富团队合作精神;想象力
平面设计师,感染力;推广页;活动页;洞察力;高度额责任心;AIL;Photos;illustrator;平面设计技;界面设计能力;设计功底;应用艺术化的视觉语;沟通能力;领悟能力;团队的协作能力;创新能力;执行力
平面设计师,
平面设计师,Cdr;文案功底;品牌意识;广泛6;沟通表达理;团队意识;执行力;抗压性
平面设计师,平面视觉传达;控制决策;丰富表达能力;Photos;illustrator;AdobeInDesign;高度额责任心;适应能力;极富团队合作精神
平面设计师,美术设;学习能力;绘画能力;团队的协作能力;抗压性
平面设计师,理解力
平面设计师,审美水准;思维发散;沟通表达理
平面设计师,头脑灵活;创意能力;洞察力;沟通能力;高度额责任心;跨团队合作能力;平面设计用软件;美术功底
平面设计师,Photos;修图流程;责任感6;团队的协作能力;注重效率
平面设计师,ppt操作;平面设计技;板绘插画;平面设计用软件;抗压性;图片素材;自律能力
平面设计师,美术基础;平面设计技;活动影像拍摄;英语四级通;word文档;Excel函;ppt操作;制图软件;Photos;CorelDRAW;AdobeInDesign;llustrator
平面设计师,美术基础;平面设计技;活动影像拍摄;英语四级通;word文档;Excel函;ppt操作;制图软件;Photos;CorelDRAW;AdobeInDesign;llustrator
平面设计师,美术基础;平面设计技;活动影像拍摄;英语四级通;word文档;Excel函;ppt操作;制图软件;Photos;CorelDRAW;AdobeInDesign;llustrator
平面设计师,美术基础;平面设计技;活动影像拍摄;英语四级通;word文档;Excel函;ppt操作;制图软件;Photos;CorelDRAW;AdobeInDesign;llustrator
平面设计师,美术基础;平面设计技;活动影像拍摄;英语四级通;word文档;Excel函;ppt操作;制图软件;Photos;CorelDRAW;AdobeInDesign;llustrator
平面设计师,学习能力;抗压性
平面设计师,主流设计软件;分析能力;执行能力;学习能力;创新意识;高度额责任心
平面设计师,日语能力N;书面能力;设计功底;构图能力;执行能力;学习能力;创新意识;高度额责任心;耐心6
平面设计师,CDR;沟通能力;平面设计用软件;色彩把控敏锐3;表达能力;工作习惯4;极富团队合作精神;学上进心
平面设计师,Photos;平面设计技;网站制作;视觉冲击力的能力;思维逻辑性;执行力
平面设计师,CorelDRAW
平面设计师,
平面设计师,平台WEB;表现力;平面设计技;平面设计技;Photos;服务过时尚;合作协调沟通
平面设计师,叙事写作功底
平面设计师,视觉设计能力;Photos;Dreamweaver;Fireworks;Flas;html5css;HTMLS;DIV+CSS;JavaScript功底;沟通能力;设计的表达;团队管理精神;极富团队合作精神;文字功底
平面设计师,平面设计技;Photos;illustrator;CorelDRAW;国内外网络热点;主动性;耐心细致;准确表达设计思路;理解分析;创意设计能力;色彩感觉能力;高度额责任心;审美力
平面设计师,设计类软件;Rhino3D;渲染软件;CDR;AI3;专业基本功;设计创意能力;手绘板绘制
平面设计师,品牌意识;设计思路;创新意识;沟通协调能力能力;团队的协作能力
平面设计师,抗压性;沟通能力;沟通项目创意;画面审美能力;illustrator;CorelDRAW;PageMarker
平面设计师,
平面设计师,理解力;发散性思维;adobe;生活类摄影;搜索能力;moodboard;researc
平面设计师,设计基础;评能力;平面设计用软件;SAI;短视频拍摄;C4D;创新性的优质设计素材;沟通设计思路;积极向上;抗压性
平面设计师,美术功底;发散性思维;理解力;鉴赏力;实施能力;VI形象设计;印刷工艺流程;Photos;CorelDRAW;illustrator;AdobeInDesign;团队意识;高度额责任心;沟通协调能力能力;配合精神6
平面设计师,手绘板绘制;平面排版能力;化办公软件
平面设计师,
平面设计师,视觉把控;传达能力;想象力;美术功底;创作灵感;设计软件;Photos;illustrator;C4D;表达能力;部门沟通能力
平面设计师,psae
平面设计师,平面设计的功底;Photos;Flas;视觉设计感觉;创意头脑;创意设计表达能力;高度额责任心;沟通能力;极富团队合作精神
平面设计师,平面设计经验;AI设计软件;c4d;高度额责任心;审美力;沟通力;学习力;抗压性
平面设计师,美术功底;美术风格;执行能力;沟通能力;极富团队合作精神;创意能力;执行能力
平面设计师,既往作品过硬;设计软件;化办公软件;AfterEffects;premiere;高度额责任心;工作态度;计划管理能力;执行力;团队精神6;沟通协调能力能力;应变能力;情绪管理能力
平面设计师,高度额责任心;平面设计用软件
平面设计师,英语沟通能力;美术功底;Photos;AdobeInDesign;illustrator;理解力;沟通能力;团队合作精神-对页面视;审美力
平面设计师,业务需求理解能力;视觉设计表达能力;illustrator;Photos;CorelDRAW;SAI;摄影知识
平面设计师,CorelDRAW;weaverA;单反相机;美术功底;高度额责任心;沟通能力;跨团队合作能力
平面设计师,C4D;3dsMAX;设计软件;平面设计创意;视觉设计能力;美术功底
平面设计师,抗压性;沟通协调能力能力;跨团队合作能力;平面设计技;交流能力;理解力
平面设计师,
平面设计师,英文沟通能力;平面设计用软件
平面设计师,美术功底;审美力;设计功底;色彩感觉能力;视觉效;热爱生活;创造力
平面设计师,沟通能力;商业审美;画面表现能力
平面设计师,视频审美能力;创意设计能力;平面设计用软件;C4D;CDR;表达能力
平面设计师,
平面设计师,Cdr;平面设计用软件;H5制作
平面设计师,ps与ai;设计软件;创新意识;抗压性
平面设计师,创意能力;审美力
平面设计师,各种绘图;3d动画制作;计划执行;问题分析;组织协调力;英语四级通;听说读写
平面设计师,主流设计软件;创新能力;视觉效;沟通能力;跨部门合作精神;工作态度;危急事件的能力
平面设计师,独立设计能力;美术功底;团队的协作能力;责任感6;洞察力;领悟能力;视觉效;指导能力;产品设计
平面设计师,平面设计用软件;美术功底;创意发挥
平面设计师,审美力;学习能力;平面设计用软件;沟通能力
平面设计师,
平面设计师,平面设计用软件;色彩感觉能力;服务意识足;抗压性;极富团队合作精神
平面设计师,美术功底;审美力;利润思维;绘画设计;创意设计能力;Photos;学习能力;理解力;极富团队合作精神;沟通能力;抗压性
平面设计师,
平面设计师,CDR;AI软件;ppt操作;offic办公软件;平面设计技;创意设计能力;UI设计;抗压性
平面设计师,
平面设计师,创意能力;Photos
平面设计师,创意能力;Photos
平面设计师,美术功底;创意丰富;设计软件
平面设计师,鉴赏能力;创新能力;跨团队合作能力;平面设计用软件;3d图形软件;设计思维;想象力丰富而有趣;动手制作能力
平面设计师,设计功底;沟通能力;团队的协作能力;执行力
平面设计师,美术功底;Photos;DreamWeaver;illustrator;CorelDRAW;Flas;热爱化妆;平面排版能力;创新的策划设计思路;色彩感觉能力;创造力;想象力;色彩和线条等网页相关元素敏感;沟通能力;创意能力;洞察力;捕捉能力
平面设计师,Photos;illustrator;pdf;操作office;印刷工艺;高度额责任心
平面设计师,沟通协作能力
平面设计师,平面设计用软件;设计功底;审美力
平面设计师,空间感;镜头运动;敏锐感知;操作能力;跨团队合作能力
内容策划人员,中英文沟通;编辑能力;文笔能力;撰写文章;学习能力;技术理解力;复杂的技术概念;语言表达;版本控制Git;Markdown;视频编辑
内容策划人员,各大投放渠道;提案能力;中文文案写作能力;文字驾驭能力;文笔能力
内容策划人员,文案能力;执行力;执行力
内容策划人员,170cm;160cm;三观正;身材好;语言表达
电商产品经理,沟通能力;思维灵活;分析能力;Excel函
电商产品经理,学习能力;抗压性
电商产品经理,ERP操作系统;逻辑思考力;分析能力;设计产品功能;交互体验;需求文档;产品流程
电商产品经理,
电商产品经理,axcure;XMind;Visio;产品设计;流程设计工具;逻辑思考力;沟通表达理;思维灵活;学习能力;创造性解决问题5;自驱动力;抗压性;执行力
大数据算法工程师,计算机基础;数据结构;Java底;golang语言;Scala语言;分布式系统技术;框架设计;抽象能力;Hadoo;Hadoo;Hdfs;HBase;Yarn;Flink;Kafka;redis;团队精神6;合作意识
大数据算法工程师,数据结构;算法基础;数据挖掘;自然语言生成
大数据算法工程师,编码量;代码风格;Java底;Xshell;python程序;Hadoo;Hive;spark;HBase;Kafka;Flume;Flink;Geomesa;PostGIS;从数据中发现疑点;用系统化思维解决问题
大数据算法工程师,Java底;Scala语言;编码量;团队沟通协作能力
大数据算法工程师,Hive;spark;数据结构;linux操作系统下的软件开发经历;Java底;Xshell;python程序;复杂SQL
大数据算法工程师,机器学习;基础理论;降维算法;逻辑回归;SVM;决策力;python程序;Linux系统;Torch;Tensorflo;专业文献阅读能力
大数据算法工程师,数据结构;Java底;python程序;数据开发经验;学习能力;解决问题的意识
大数据算法工程师,编码量;加密算法;linux操作命令4;机器学习;数理基础;逻辑分析能力;高度额责任心;owner意识;执行力;预测算法;数据挖掘
大数据算法工程师,机器学习;深度学习部分算法原理;skirtlearn;Tensorflo;sparkmllib;Mapreduce
大数据算法工程师,计算机软件;数学能力;学习能力;Caffe;Tensorflo;Torch;Hadoo;spark;大数据处理;沟通能力;逻辑性;抗压性
大数据算法工程师,
大数据算法工程师,python程序;Java底;Scala语言;Mysql的设计;Hive;Tensorflo;Torch
大数据算法工程师,常用机器学习算法;数据开发经验;Linux系统;Java底;python程序;基础算法;数据变化敏感度;分析问题;解决问题的意识;学习能力;沟通能力;团队协同能力
大数据算法工程师,linux系统的使用能力;ORACLE数据库;数据库Oracle;Mysql的设计;SQLSERVER数据库;复杂SQL;ETL设计;Hadoo;spark;Hive;HBase;flink;kafka;Java底;python程序;Scala语言;学习的意识;理解力;复杂SQL;Kettle;ETL设计;Kettle;数据库能力;存储过程;greenplum;PostgreSQL;数据同步;python程序;linux操作命令4;Hadoo;spark;沟通能力;团队的协作能力
大数据算法工程师,数据挖掘;使用能力;数字化
大数据算法工程师,学习能力;思维能力;创新想象力;智能优化;时序分析;数据结构;Mysql的设计;ORACLE数据库;数据库Oracle;管理维护;Hadoo;Hbase;Kafka;C++编程能力;python程序;Java底;MatLab
后期制作,
后期制作,
后期制作,AfterEffect;premiere;影视公司影视包装
后期制作,剪辑软件PR;合成软件;调色软件;color;Davinci;AI设计软件;艺术能力;创新能力;执行能力;逻辑性
行政专员/行政助理,沟通表达理;高度额责任心
行政专员/行政助理,亲和؜力;沟通能力;极富团队合作精神;组织协调力;高度额责任心;自发性
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,沟通表达理;学习能力;敏锐的洞察能力;抗挫能力;工作意识;团队精神6
行政专员/行政助理,沟通表达理;学习能力;洞察力;抗挫能力;团队精神6
行政专员/行政助理,文案写作能力;办公软件PPT;Excel函;word文档;沟通能力;极富团队合作精神;品行端正6;西班牙语;土耳其语;葡萄牙语;读写能力
行政专员/行政助理,高度额责任心;沟通能力
行政专员/行政助理,责任感6
行政专员/行政助理,1年以上工作经验;电脑操作即;口头表达能力;极富团队合作精神
行政专员/行政助理,offic办公软件;SolidWorks;word文档;Excel函;ppt操作;会议记录能力;表格的处理能力
行政专员/行政助理,接待礼仪;普通话标准;语言表达;亲和؜力;保密意识;办公室管理;工作流程;组织能力;办公室自动化;化办公软件;跨团队合作能力;高度额责任心
行政专员/行政助理,
行政专员/行政助理,沟通协调能力能力;高度额责任心;学上进心;化办公软件
行政专员/行政助理,高160cm;接待礼仪;沟通能力;服务意识足;高度额责任心;学习能力
行政专员/行政助理,室行政管理知识;工作流程;公文写作格式;基本商务信函写作能力;offic办公软件;办公自动化设备3;细致耐心;沟通能力;协调能力
行政专员/行政助理,
行政专员/行政助理,亲和؜力;沟通能力;三观正;正形象气质;品行良好;word文档;Excel函;总结数据4;高度额责任心
行政专员/行政助理,学上进心;视频编辑;亲和؜力;沟通能力
行政专员/行政助理,
行政专员/行政助理,高度额责任心;计算机办公软件;Excel函;ppt操作;普通话标准;服务意识足;爱岗敬业
行政专员/行政助理,品德优良;学位证;高度额责任心;跨团队合作能力
行政专员/行政助理,沟通能力;应变能力;offic办公软件;学习能力;团队意识;正能量;阳光心态;进取心;爱岗敬业
行政专员/行政助理,英语四级通;亲和؜力;态度积极;工作主动性;沟通表达理
行政专员/行政助理,亲和؜力;沟通能力;极富团队合作精神;自我协调能力;沟通能力
行政专员/行政助理,亲和؜力;沟通能力;极富团队合作精神;自我协调能力;沟通能力
行政专员/行政助理,offic办公软件;Excel函;word文档;高度额责任心;团队的协作能力
行政专员/行政助理,进取心;组织能力;学习能力;团队的协作能力;沟通能力;高度额责任心;自我驱动的意识;自主工作能力;工作态度;保密意识6;word文档;Excel函;ppt操作;抗压性;英语流
行政专员/行政助理,阳光开朗;亲和؜力;协调能力;服务意识足;责任感6;offic办公软件
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,化办公软件;沟通能力;组织协调力;文书表达能力
行政专员/行政助理,沟通能力;钻研精神;执行能力;学习能力
行政专员/行政助理,与人沟通;协调能力
行政专员/行政助理,计算机操作能力
行政专员/行政助理,进取心;自信心;高度额责任心;自律心;团队协作管理能力
行政专员/行政助理,沟通表达理;亲和؜力;服务意识足;领悟能力;抗压性
行政专员/行政助理,写作能力
行政专员/行政助理,法律专业知识;组织协调力;爱岗敬业;沟通能力吃苦耐劳;开拓创新能力;极富团队合作精神
行政专员/行政助理,正形象气质;个人习惯;积极主动;沟通表达流畅;应变能力;文字功底;洞察力
行政专员/行政助理,
行政专员/行政助理,168cm
行政专员/行政助理,文字编写能力;计算机办公软件;offic办公软件;大局意识;组织观念;坚持原则
行政专员/行政助理,善创变;能死磕
行政专员/行政助理,
行政专员/行政助理,综合素养;沟通能力
行政专员/行政助理,沟通协调能力能力
行政专员/行政助理,offic办公软件;服务意识足;人际关系敏感度;沟通交互;大局观念;组织协调力
行政专员/行政助理,学习能力;抗压性;文书表达能力
行政专员/行政助理,正形象气质;个人习惯;积极主动;沟通表达流畅;应变能力;文字功底;仔细5;洞察力
行政专员/行政助理,进取心;自信心;高度额责任心;自律心;团队协作管理能力
行政专员/行政助理,化办公软件;文书表达能力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,人力资源工作;熟悉人力资源管理各项实务的操作流程;国家各项劳动人事法规政策;职业道德;高度额责任心;协调能力;极富团队合作精神;化办公软件;网络知识
行政专员/行政助理,
行政专员/行政助理,
行政专员/行政助理,沟通协调能力能力;执行推动能力;领悟能力;内驱力;高度额责任心;化办公软件
行政专员/行政助理,沟通协调能力能力;执行推动能力;领悟能力;内驱力;高度额责任心;化办公软件
行政专员/行政助理,
行政专员/行政助理,
行政专员/行政助理,offic办公软件;ppt操作;视频混剪;公文写作功底;书面表达;沟通交互;组织协调力;跨团队合作能力;抗压性
行政专员/行政助理,行政公文撰写;书面表达;offic办公软件;沟通协调能力能力;抗压性;时间规划能力;高度额责任心;人力资源管理各项实务的操作流程;国家各项劳动人事法规
行政专员/行政助理,头脑灵活;沟通能力;协调能力;学习能力;抗压性
行政专员/行政助理,化办公软件;沟通表达理;文字写作能力;服务意识足;高度额责任心;团队的协作能力
行政专员/行政助理,亲和؜力;基本商务接待礼仪;生活常识;高度额责任心;主动性;事业心
行政专员/行政助理,协调能力;高度额责任心;职业道德
行政专员/行政助理,亲和؜力;基本商务接待礼仪;生活常识;高度额责任心;主动性;事业心
行政专员/行政助理,沟通能力;执行力;分享精神;自驱力
行政专员/行政助理,进取心;自信心;高度额责任心;自律心;团队协作管理能力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,普通话标准;学习力;高度额责任心;服务意识足;化办公软件;问题意识;创新意识;跨团队合作能力;沟通协调能力能力;组织能力
行政专员/行政助理,普通话标准;学习力;高度额责任心;服务意识足;化办公软件;问题意识;创新意识;跨团队合作能力;沟通协调能力能力;组织能力
行政专员/行政助理,接受新事物的意识;小红书
行政专员/行政助理,化办公软件;高度额责任心;沟通能力
行政专员/行政助理,文案写作能力;创新意思;高度额责任心;沟通表达理;执行力;总结5
行政专员/行政助理,
行政专员/行政助理,服务意识足;电脑3;协调能力;沟通能力;高度额责任心
行政专员/行政助理,普通话标准;学习力;高度额责任心;服务意识足;化办公软件;问题意识;创新意识;跨团队合作能力;沟通协调能力能力;组织能力
行政专员/行政助理,
行政专员/行政助理,与人沟通;服务意识足;电脑办公软件使用能力;应变能力;解决问题的意识;高度额责任心
行政专员/行政助理,普通话标准;学习力;高度额责任心;服务意识足;化办公软件;问题意识;创新意识;跨团队合作能力;沟通协调能力能力;组织能力
行政专员/行政助理,普通话标准;学习力;高度额责任心;服务意识足;化办公软件;问题意识;创新意识;跨团队合作能力;沟通协调能力能力;组织能力
行政专员/行政助理,普通话标准;学习力;高度额责任心;服务意识足;化办公软件;问题意识;创新意识;跨团队合作能力;沟通协调能力能力;组织能力
行政专员/行政助理,服务意识足;沟通协调能力能力;化办公软件
行政专员/行政助理,中英文沟通能力;逻辑思考力;化办公软件;Hays官网
行政专员/行政助理,普通话标准;学习力;高度额责任心;服务意识足;化办公软件;问题意识;创新意识;跨团队合作能力;沟通协调能力能力;组织能力
行政专员/行政助理,沟通协调能力能力;学习能力
行政专员/行政助理,表达沟通;应变能力;负责心;学习能力
行政专员/行政助理,文字编写能力;组织能力;协调能力;抗压性
行政专员/行政助理,普通话标准;文字功底;逻辑分析能力;接待礼仪;行政服务意识;组织协调力;执行力
行政专员/行政助理,化办公软件;人力资源系统;劳动合同法;责任感6;事业心;沟通能力;严谨的逻辑思维能力
行政专员/行政助理,文字功底;语言表达;高度额责任心;抗压性;沟通协调能力能力;保密意识;办公软件7;思维活跃;创造力
行政专员/行政助理,高度额责任心;文字功底
行政专员/行政助理,offic办公软件;执行能力;高度额责任心;原则性;沟通能力;行政公文撰写;工作条理性;协调性;应变能力
行政专员/行政助理,
行政专员/行政助理,正形象气质;统筹管理能力;亲和؜力;团队建设;抗压性;逻辑分析能力;领悟能力;执行力;高度额责任心;办公软件操作技能;Excel函
行政专员/行政助理,逻辑思考力;沟通协调能力能力;独立处理解决问题的能力;服务意识足;极富团队合作精神;化办公软件;公文写作功底
行政专员/行政助理,高度额责任心;文字撰写功底;沟通协调能力能力;语言表达;offic办公软件;办公室自动化;网络知识
行政专员/行政助理,正形象气质;统筹管理能力;亲和؜力;团队建设;抗压性;逻辑分析能力;领悟能力;执行力;高度额责任心;办公软件操作技能;Excel函
行政专员/行政助理,职业素养;offic办公软件;文字功底;高度额责任心;沟通能力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,160厘米;正形象气质;学上进心;接待礼仪;亲和؜力;化办公软件
行政专员/行政助理,word文档;Excel函;ppt操作;执行力
行政专员/行政助理,offic办公软件;沟通能力;协调能力;保密意识
行政专员/行政助理,行政管理知识;行政工作流程;办公用品采购流程;高度额责任心;文字撰写功底;沟通协调能力能力;语言表达;offic办公软件;办公室自动化;网络知识
行政专员/行政助理,化办公软件;高度额责任心;与人沟通
行政专员/行政助理,团队精神6;强烈成功欲望
行政专员/行政助理,化办公软件;人力资源系统;劳动合同法;责任感6;事业心;沟通能力;严谨的逻辑思维能力
行政专员/行政助理,高度额责任心;沟通协调能力能力
行政专员/行政助理,
行政专员/行政助理,办公室行政管理知识;工作流程;基本商务信函写作能力;口头表达能力;word文档;Excel函;ppt操作;文字写作功力;沟通能力;做事耐心细致;主动性极;学习能力;判断能力;抗压性;高度额责任心;组织管理能力
行政专员/行政助理,亲和؜力;高度额责任心;正形象气质;沟通表达理
行政专员/行政助理,沟通能力;执行力;分享精神;自驱力
行政专员/行政助理,Excel函;ppt操作;表达能力;学习能力;英语口语;CET4;TEM8;TEM8
行政专员/行政助理,亲和؜力;沟通能力;极富团队合作精神;自我协调能力;沟通能力
行政专员/行政助理,正形象气质;沟通表达理;问题解析能力
行政专员/行政助理,接待礼仪;服务意识足;应变能力;高度额责任心;极富团队合作精神;电脑办公软件使用能力;协调沟通能力;英语沟通
行政专员/行政助理,化办公软件;MicrosoftWord;Photos
行政专员/行政助理,沟通能力;协调能力;极富团队合作精神;offic办公软件;亲和؜力;高度额责任心;组织协调力
行政专员/行政助理,ppt操作;word文档;Excel函;国家劳动法规;地方政策;招聘渠道开发;招聘流程;沟通表达理;逻辑思考力;沟通表达理
行政专员/行政助理,抗压性;执行力;高度额责任心;亲和؜力;沟通能力
行政专员/行政助理,文字撰写功底;逻辑思考力;沟通能力;执行力;word文档;Excel函;ppt操作
行政专员/行政助理,化办公软件;逻辑思考力;高度额责任心;应变能力;稳定性
行政专员/行政助理,口头表达能力;亲和؜力;沟通领悟能力;服务意识足;原则性;执行力;应变能力;内外部沟通
行政专员/行政助理,
行政专员/行政助理,纯招聘;执行力;逻辑思考力;语言表达;亲和؜力;职业道德;高度额责任心;协调能力;极富团队合作精神;自我总结;学习能力;内驱力
行政专员/行政助理,沟通能力;反应能力;服从管理;执行力;团队的协作能力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,人力资源工作;熟悉人力资源管理各项实务的操作流程;国家各项劳动人事法规政策;职业道德;高度额责任心;协调能力;极富团队合作精神;化办公软件;网络知识
行政专员/行政助理,
行政专员/行政助理,
行政专员/行政助理,组织协调力;决策力;商务谈判能力;与人沟通;文字功底;逻辑思考力;学习能力;抗压性
行政专员/行政助理,同理心;人力资源管理专业知识;法律专业知识;责任感6;主动沟通意识;学历能力
行政专员/行政助理,同理心;人力资源管理专业知识;法律专业知识;责任感6;主动沟通意识;学历能力
行政专员/行政助理,化办公软件;财务软件;财税法律法规;谦虚谨慎;学习能力;高度额责任心;沟通协调能力能力;逻辑思考力;极富团队合作精神
行政专员/行政助理,
行政专员/行政助理,正形象气质;英语四级通;普通话标准;表达能力;学习能力;文字功底;写作能力;办公软件5;极富团队合作精神;品德端正
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,语言表达;沟通能力;理解力;解决问题的意识;抗压性;品德端正;跨团队合作能力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,
行政专员/行政助理,正形象气质;个人习惯;积极主动;沟通表达流畅;应变能力;文字功底;仔细5;洞察力
行政专员/行政助理,沟通表达理;高度额责任心
行政专员/行政助理,亲和؜力;沟通能力;极富团队合作精神;组织协调力;高度额责任心;自发性
行政专员/行政助理,正形象气质;沟通反馈意识;团队协作意识;学习能力;文字功底;化办公软件;处事灵活度;问题意识;抗压性;组织协调力
行政专员/行政助理,沟通表达理;学习能力;敏锐的洞察能力;抗挫能力;工作意识;团队精神6
行政专员/行政助理,沟通表达理;学习能力;洞察力;抗挫能力;团队精神6
行政专员/行政助理,文案写作能力;办公软件PPT;Excel函;word文档;沟通能力;极富团队合作精神;品行端正6;西班牙语;土耳其语;葡萄牙语;读写能力
行政专员/行政助理,高度额责任心;沟通能力
行政专员/行政助理,责任感6
行政专员/行政助理,1年以上工作经验;电脑操作即;口头表达能力;极富团队合作精神
行政专员/行政助理,offic办公软件;SolidWorks;word文档;Excel函;ppt操作;会议记录能力;表格的处理能力
行政专员/行政助理,接待礼仪;普通话标准;语言表达;亲和؜力;保密意识;办公室管理;工作流程;组织能力;办公室自动化;化办公软件;跨团队合作能力;高度额责任心
行政专员/行政助理,
行政专员/行政助理,沟通协调能力能力;高度额责任心;学上进心;化办公软件
行政专员/行政助理,高160cm;接待礼仪;沟通能力;服务意识足;高度额责任心;学习能力
行政专员/行政助理,室行政管理知识;工作流程;公文写作格式;基本商务信函写作能力;offic办公软件;办公自动化设备3;细致耐心;沟通能力;协调能力
行政专员/行政助理,
行政专员/行政助理,亲和؜力;沟通能力;三观正;正形象气质;品行良好;word文档;Excel函;总结数据4;高度额责任心
行政专员/行政助理,学上进心;视频编辑;亲和؜力;沟通能力
行政专员/行政助理,
行政专员/行政助理,高度额责任心;计算机办公软件;Excel函;ppt操作;普通话标准;服务意识足;爱岗敬业
行政专员/行政助理,品德优良;学位证;高度额责任心;跨团队合作能力
行政专员/行政助理,沟通能力;应变能力;offic办公软件;学习能力;团队意识;正能量;阳光心态;进取心;爱岗敬业
行政专员/行政助理,英语四级通;亲和؜力;态度积极;工作主动性;沟通表达理
行政专员/行政助理,亲和؜力;沟通能力;极富团队合作精神;自我协调能力;沟通能力
行政专员/行政助理,亲和؜力;沟通能力;极富团队合作精神;自我协调能力;沟通能力
行政专员/行政助理,offic办公软件;Excel函;word文档;高度额责任心;团队的协作能力
行政专员/行政助理,进取心;组织能力;学习能力;团队的协作能力;沟通能力;高度额责任心;自我驱动的意识;自主工作能力;工作态度;保密意识6;word文档;Excel函;ppt操作;抗压性;英语流
